Order ID, Amount , Profit ,Quantity,Category,Sub-Category,PaymentMode,Order Date,Day,Month,Year,CustomerName,State,City
B-26035," $2,404.00 ", $253.00 ,15,Electronics,Laptops,COD,31-12-2021,31,12,2021,Megan Mack,Texas,Austin
B-26035," $1,281.00 ", $340.00 ,3,Electronics,Electronic Games,Debit Card,31-12-2021,31,12,2021,Megan Mack,Texas,Austin
B-25715," $6,089.00 ", $139.00 ,19,Furniture,Tables,Debit Card,31-12-2020,31,12,2020,Alicia Vincent,Ohio,Cincinnati
B-25715," $2,586.00 ", $800.00 ,16,Furniture,Tables,UPI,31-12-2020,31,12,2020,Alicia Vincent,Ohio,Cincinnati
B-25715," $3,757.00 "," $1,626.00 ",9,Office Supplies,Paper,UPI,31-12-2020,31,12,2020,Alicia Vincent,Ohio,Cincinnati
B-25292," $3,189.00 "," $1,180.00 ",19,Office Supplies,Paper,Credit Card,31-12-2021,31,12,2021,Michelle Guerra,New York,New York City
B-25051," $7,201.00 "," $2,685.00 ",2,Furniture,Tables,Credit Card,30-12-2024,30,12,2024,Lawrence Robinson,New York,Rochester
B-25051, $725.00 , $133.00 ,6,Office Supplies,Paper,Credit Card,30-12-2024,30,12,2024,Lawrence Robinson,New York,Rochester
B-26961," $5,193.00 "," $2,530.00 ",5,Furniture,Sofas,Debit Card,29-12-2024,29,12,2024,Nicholas Tucker,Florida,Miami
B-25517," $4,495.00 "," $1,408.00 ",14,Office Supplies,Pens,EMI,29-12-2021,29,12,2021,Tamara Guzman,New York,Buffalo
B-25517," $6,732.00 ", $911.00 ,19,Furniture,Bookcases,EMI,29-12-2021,29,12,2021,Tamara Guzman,New York,Buffalo
B-26495," $3,451.00 ", $658.00 ,3,Office Supplies,Markers,UPI,28-12-2024,28,12,2024,Patricia Davis,Illinois,Chicago
B-26443," $9,869.00 "," $4,299.00 ",12,Electronics,Printers,Debit Card,28-12-2023,28,12,2023,Joseph Hooper,New York,Buffalo
B-26409," $3,024.00 "," $1,353.00 ",1,Furniture,Sofas,Credit Card,28-12-2021,28,12,2021,John James,Ohio,Columbus
B-26034," $9,229.00 "," $4,090.00 ",8,Electronics,Electronic Games,COD,28-12-2023,28,12,2023,Aaron Johnson,New York,Rochester
B-26034," $9,789.00 "," $2,071.00 ",18,Furniture,Bookcases,Debit Card,28-12-2023,28,12,2023,Aaron Johnson,New York,Rochester
B-25698," $3,776.00 "," $1,100.00 ",9,Electronics,Electronic Games,EMI,28-12-2022,28,12,2022,Thomas Matthews,Illinois,Peoria
B-26938," $3,281.00 ", $471.00 ,7,Furniture,Sofas,EMI,27-12-2023,27,12,2023,Erin Hernandez,California,Los Angeles
B-26912," $8,752.00 "," $1,686.00 ",9,Furniture,Tables,Debit Card,27-12-2020,27,12,2020,Patrick Hensley MD,Ohio,Cincinnati
B-26797," $2,759.00 "," $1,149.00 ",6,Furniture,Tables,Credit Card,27-12-2024,27,12,2024,Caitlin Thomas,New York,New York City
B-26776," $4,975.00 "," $1,330.00 ",14,Electronics,Printers,UPI,27-12-2024,27,12,2024,Connor Morgan,Illinois,Chicago
B-26776," $9,726.00 "," $1,275.00 ",5,Electronics,Electronic Games,UPI,27-12-2024,27,12,2024,Connor Morgan,Illinois,Chicago
B-26470," $3,090.00 ", $573.00 ,6,Furniture,Tables,EMI,27-12-2024,27,12,2024,Morgan Montes,California,San Diego
B-26470," $9,683.00 "," $1,014.00 ",5,Electronics,Printers,UPI,27-12-2024,27,12,2024,Morgan Montes,California,San Diego
B-25842," $1,248.00 ", $584.00 ,13,Office Supplies,Pens,EMI,27-12-2022,27,12,2022,Luis Luna,California,San Francisco
B-25842, $514.00 , $109.00 ,15,Office Supplies,Paper,Debit Card,27-12-2022,27,12,2022,Luis Luna,California,San Francisco
B-25842," $3,669.00 ", $154.00 ,14,Office Supplies,Markers,EMI,27-12-2022,27,12,2022,Luis Luna,California,San Francisco
B-25232," $7,792.00 "," $1,403.00 ",13,Office Supplies,Paper,UPI,27-12-2022,27,12,2022,Stephanie Thomas,New York,Rochester
B-25232," $2,346.00 ", $388.00 ,14,Furniture,Chairs,Debit Card,27-12-2022,27,12,2022,Stephanie Thomas,New York,Rochester
B-26119," $3,956.00 ", $142.00 ,12,Office Supplies,Pens,Debit Card,26-12-2024,26,12,2024,Michelle Hardy,Texas,Dallas
B-26119," $6,449.00 "," $2,628.00 ",11,Furniture,Bookcases,EMI,26-12-2024,26,12,2024,Michelle Hardy,Texas,Dallas
